SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_Wind.nstatus_Act	SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_Code1.nstatus_Act	SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_Code2.nstatus_Act	SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_Code3.nstatus_Act	SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_Trun.nstatus_Act	SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_PFeed.nstatus_Act	SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_NFeed.nstatus_Act	SymbolName	GVL_Wind.gWindStateOut.nstatus_Infor_Push.nstatus_Act
NetID	169.254.244.1.1.1	NetID	169.254.244.1.1.1	NetID	169.254.244.1.1.1	NetID	169.254.244.1.1.1	NetID	169.254.244.1.1.1	NetID	169.254.244.1.1.1	NetID	169.254.244.1.1.1	NetID	169.254.244.1.1.1
Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0

138	420	138	2000	138	20	138	130	138	0	138	210	138	210	138	0
140	420	140	2000	140	20	140	130	140	0	140	210	140	210	140	0
142	420	142	2000	142	20	142	130	142	0	142	210	142	210	142	0
144	420	144	2000	144	20	144	130	144	0	144	210	144	210	144	0
146	420	146	2000	146	20	146	130	146	0	146	210	146	210	146	0
148	420	148	2000	148	20	148	130	148	0	148	210	148	210	148	0
150	420	150	2000	150	20	150	130	150	0	150	210	150	210	150	0
152	420	152	2000	152	20	152	130	152	0	152	210	152	210	152	0
154	420	154	2000	154	20	154	130	154	0	154	210	154	210	154	0
156	420	156	2000	156	20	156	130	156	0	156	210	156	210	156	0
158	420	158	2000	158	20	158	130	158	0	158	210	158	210	158	0
160	420	160	2000	160	20	160	130	160	0	160	210	160	210	160	0
162	420	162	2000	162	20	162	130	162	0	162	210	162	210	162	0
164	420	164	2000	164	20	164	130	164	0	164	210	164	210	164	0
166	420	166	2000	166	20	166	130	166	0	166	210	166	210	166	0
168	420	168	2000	168	20	168	130	168	0	168	210	168	210	168	0
170	420	170	2000	170	20	170	130	170	0	170	210	170	210	170	0
172	420	172	2000	172	20	172	130	172	0	172	210	172	210	172	0
174	420	174	2000	174	20	174	130	174	0	174	210	174	210	174	0
176	420	176	2000	176	20	176	130	176	0	176	210	176	210	176	0
178	420	178	2000	178	20	178	130	178	0	178	210	178	210	178	0
180	420	180	2000	180	20	180	130	180	0	180	210	180	210	180	0
182	420	182	2000	182	20	182	130	182	0	182	210	182	210	182	0
184	420	184	2000	184	20	184	130	184	0	184	210	184	210	184	0
186	420	186	2000	186	20	186	130	186	0	186	210	186	210	186	0
188	420	188	2000	188	20	188	130	188	0	188	210	188	210	188	0
190	420	190	2000	190	20	190	130	190	0	190	210	190	210	190	0
192	420	192	2000	192	20	192	130	192	0	192	210	192	210	192	0
194	420	194	2000	194	20	194	130	194	0	194	210	194	210	194	0
196	420	196	2000	196	20	196	130	196	0	196	210	196	210	196	0
198	420	198	2000	198	20	198	130	198	0	198	210	198	210	198	0
200	420	200	2000	200	20	200	130	200	0	200	210	200	210	200	0
202	420	202	2000	202	20	202	130	202	0	202	210	202	210	202	0
204	420	204	2000	204	20	204	130	204	0	204	210	204	210	204	0
206	420	206	2000	206	20	206	130	206	0	206	210	206	210	206	0
208	420	208	2000	208	20	208	130	208	0	208	210	208	210	208	0
210	420	210	2000	210	20	210	130	210	0	210	210	210	210	210	0
212	420	212	2000	212	20	212	130	212	0	212	210	212	210	212	0
214	420	214	2000	214	20	214	130	214	0	214	210	214	210	214	0
216	420	216	2000	216	20	216	130	216	0	216	210	216	210	216	0
218	420	218	2000	218	20	218	130	218	0	218	210	218	210	218	0
220	420	220	2000	220	20	220	130	220	0	220	210	220	210	220	0
222	420	222	2000	222	20	222	130	222	0	222	210	222	210	222	0
224	420	224	2000	224	20	224	130	224	0	224	210	224	210	224	0
226	420	226	2000	226	20	226	130	226	0	226	210	226	210	226	0
228	420	228	2000	228	20	228	130	228	0	228	210	228	210	228	0
230	420	230	2000	230	20	230	130	230	0	230	210	230	210	230	0
232	420	232	2000	232	20	232	130	232	0	232	210	232	210	232	0
234	420	234	2000	234	20	234	130	234	0	234	210	234	210	234	0
236	420	236	2000	236	20	236	130	236	0	236	210	236	210	236	0
238	420	238	2000	238	20	238	130	238	0	238	210	238	230	238	0
240	420	240	2000	240	20	240	130	240	0	240	210	240	0	240	0
242	420	242	2000	242	20	242	130	242	0	242	210	242	0	242	0
